Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2012,"12        ",Male,16,Right-Handed,63,23,64,2,Car,5,0.284,,Baseball/Softball,150,96,144,219,1000,900,24,"Left foot",16,7,"Ring finger",November,Summer,No,No,Fruit,Water,Other,7,8,3,"Yes - broadband connection","Cell phone",100,100,50,10,1,20,50,3,30,20,35,3,24,3,Some,"Undergraduate degree","Rap/Hip hop","Freeze time",Happy,Relative,"Wildlife, animals"
USA,FL,2015,"12        ",Male,17,Right-Handed,171,25,182,1,Boat,10,56,11,Basketball,,,,,,,25,"Same length",98,99,"Ring finger",September,Summer,No,No,Seafood,"Soft drink (caffeinated)","Mathematics and statistics",7,6,8,"Yes - broadband connection","In person",50,70,,,,,,,,,,,,,"Very little","Graduate degree","Rap/Hip hop","Super strength",Famous,"Business person",Health
USA,MA,2019,"12        ",Male,17,Right-Handed,5'4,150,199,1,Car,"5 min",0.43,44,"Football (American)",914,936,500,717,556,888,155,"Same length",100,100,"Ring finger",April,Fall,No,No,Pizza/Pasta,Water,English,7,5,4,"Yes - broadband connection","Text messaging",100,100,10-20,1,5,20,25,10,5,2,3,3,40,10,"Very little","High school","Rap/Hip hop",Invisibility,Rich,"Sports person",Health
USA,MI,2016,"12        ",Female,17,Right-Handed,166,24,158,2,Car,7,0.429,52,Swimming,406,503,898,604,"1000 ",797,24,"Same length","8 ","7    ","Ring finger",February,Spring,No,No,Pizza/Pasta,Water,English,6,8,3,"Yes - broadband connection","In person",100,100,3,2,6,4,5,0,1,2,10,1,25,2,Some,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,Friend,"Education/Youth development"
USA,CO,2015,"12        ",Male,17,Right-Handed,177,15,168,1,Car,20,,,Baseball/Softball,999,999,800,1000,400,400,14,"Same length",50,56,"Ring finger",December,Summer,Yes,No,Seafood,Water,"Physical education",8,10,4,"Yes - other","In person",200,200,10,1,15,10,10,5,5,1,1,5,15,5,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,"Coach or club leader",Health
USA,CA,2018,"12        ",Female,17,Right-Handed,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MI,2018,"12        ",Male,16,Right-Handed,168,23,161,1,Car,8,0.337,33,Rowing,711,439,166,492,834,834,24,"Left foot",76,89,"Ring finger",May,Spring,Yes,No,Pizza/Pasta,Milk,"Computers and technology",7,12,4,"Yes - broadband connection","Text messaging",60,60,30,5,10,2,3,2,30,3,2,10,2,1,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Friend,"Arts, culture, sports"
USA,NY,2018,"10        ",Female,16,Right-Handed,156,23,162,2,"Rail (Train/Tram/Subway)",30,0.386,50,"Table Tennis",600,680,500,700,1000,1000,23,"Same length",90,100,"Ring finger",January,Spring,No,No,Pizza/Pasta,Water,English,5,12,4,"Yes - other","Cell phone",40,40,2,7,6,3,1,0,7,7,7,1,0,1,"A lot","Undergraduate degree","Rhythm and blues (R&B)",Telepathy,Happy,Other,"International aid"
USA,OR,2015,"12        ",Male,15,Right-Handed," 173",25,176,1,Walk,5,.447,49,"Martial Arts",1000,1000,1000,1000,100,1000,25,"Same length",87,85,"Index finger",March,Spring,Yes,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",6,9,3,"Yes - broadband connection","In person",0,0,2,1,30,7,6,15,2,0,14,0,0,2,"A lot","Graduate degree",Pop,Invisibility,Rich,Teacher,"International aid"
USA,OH,2020,"8         ",Female,14,Left-Handed,172,26,168,4,Car,4,0.436,51,Lacrosse,900,950,400,400,200,200,24,"Right foot",63,70,"Ring finger",August,Summer,Yes,No,Other,Water,"Physical education",9,7,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",43,57,65,2,2,1,4,0,5,1,5,2,0,0,"A lot","Graduate degree",Pop,Invisibility,,Politician,Religious
USA,NC,2017,"12        ",Male,17,Right-Handed,175,27,64,4,Car,10,0.694,41,Basketball,1000,800,650,750,400,300,27,"Same length",34,33,"Index finger",March,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7.5,10,2,"Yes - broadband connection","In person",200,300,6,1,15,5,15,0,0,4,10,2,0,5,Some,"Graduate degree",Pop,"Freeze time",Rich,Other,"International aid"
USA,MD,2014,"7         ",Female,12,Right-Handed,152,24,148,1,Bus,17,.358,44,Basketball,200,10,5,300,999,1000,23,"Right foot",80,82,"Ring finger",August,Winter,Yes,No,Fruit,Juice,"Mathematics and statistics",6,3,6,"Yes - broadband connection","Text messaging",99,120,7,5,12,20,6,10,25,20,3,10,0,5,Some,"Undergraduate degree","Rap/Hip hop",Invisibility,Rich,Actor,Health
