Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,KY,2015,"6         ",Male,11,Right-Handed,150,25,150,1,Bus,20,.447,96,"Football (American)",690,765,524,802,519,610,25,"Same length",7,8,"Ring finger",April,Summer,No,No,Pizza/Pasta,Juice,"Social studies",8,9,4,"No internet connection","In person",0,0,6,1,2,6,3,3,0,0,1,10,0,1,Some,Other,Pop,Fly,Happy,Other,Health
USA,KY,2018,"10        ",Male,15,Right-Handed,165,24,167,2,Car,30,0.446,35,Swimming,586,502,584,690,150,717,23,"Right foot",88,92,"Ring finger",June,Summer,No,No,Meat,Juice,History,7,9,3,"Yes - broadband connection","Text messaging",20,20,2,0,10,5,1,4,0,4,4,2,0,1,Some,"Graduate degree",Classical,"Freeze time",Rich,Other,Health
USA,KY,2012,"12        ",Female,18,Right-Handed,157,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,KY,2019,"7         ",Male,"13 ",Right-Handed,140,25.4,140,1,Bus,5,0.32,34,Basketball,283,1000,1000,1000,1000,1000,25.4,"Same length",6.5,6.5,"Same length",June,Summer,Yes,No,"No favorite",Other,"Mathematics and statistics",8,8,7,"Yes - other","Text messaging",3,5,50,80,20,100,100,95,0,96,85,88,0,100,"Very little","Undergraduate degree","Rap/Hip hop",Telepathy,Famous,Relative,Environment
USA,KY,2018,"10        ",Female,15,Right-Handed,160,23,161,2,Bus,40,.796,5,Basketball,100,100,100,100,100,100,23,"Same length",73,70,"Index finger",November,Spring,Yes,No,Salads,Water,"Mathematics and statistics",6,10,4,"Yes - broadband connection","Cell phone",15,17,,,,,,,,,,,,,,,,,,,
USA,KY,2018,"10        ",Female,16,Right-Handed,173,27,173,1,Bus,60,.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,KY,2012,"6         ",Female,11,Right-Handed,60,25,56,1,Car,25,.415,34,Other,1000,1000,1000,1000,40,100,25,"Same length",7.5,7.5,"Same length",August,Spring,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)",Science,10,9,6,"Yes - broadband connection","Cell phone",12,12,3,0,7,8,5,4,2,10,10,5,4,6,"Very little","Graduate degree",Pop,"Freeze time",Healthy,Relative,"Arts, culture, sports"
USA,KY,2015,"6         ",Female,11,Right-Handed,150,24,156,1,Bus,60,0.756,70,Soccer,471,690,1000,1000,390,316,24,"Same length",8,6,"Index finger",June,Summer,No,No,"Rice/Noodle dishes",Tea,Music,9,12,5,"Yes - other","Text messaging",25,30,35,4,3,40,21,2,10,52,100,4,0,0,"Very little","Graduate degree",Pop,Invisibility,Healthy,Teacher,Health
USA,KY,2012,"12        ",Male,17,Right-Handed,181.5,26,170.5,2,Car,6,.234,38,Skateboarding/Rollerblading,0,0,0,,1000,1000,25.5,"Right foot",85,94,"Ring finger",April,Summer,Yes,No,Poultry,"Soft drink (caffeinated)","Mathematics and statistics",8,11,4,"Yes - broadband connection","Text messaging",50,50,20,7,1,3,0,.5,3,5,8,7,25,7,"Very little","Undergraduate degree",Other,"Freeze time",Happy,"Business person",Religious
USA,KY,2018,"10        ",Female,18,Right-Handed,164,23,163,1,Car,25,.719,56,Swimming,950,700,750,850,700,700,24,"Left foot",,,"Ring finger",February,Fall,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)",History,7,9,3,"Yes - broadband connection","Text messaging",10,7,4,2,7,6,0,0,1,1,12,4,24,3,Some,"Graduate degree","Rock and roll","Super strength",Happy,Teacher,"Wildlife, animals"
